By Command
°C→°F	[degree]C[->][degree]F	C>F
sₓᵧ	s[sub-x][sub-y]	sxy
s.cwt→kg	s.cwt[->]kg	s.cwt>kg
s.tons→t	s.tons[->]t	s.tons>t
©TAN	[cmplx]TAN	cTAN
©TANH	[cmplx]TANH	cTANH
Tₙ	T[sub-n]	Tn
tons→t	tons[->]t	tons>t
torr→Pa	torr[->]Pa	torr>Pa
tₚ(x)	t[sub-p](x)	t-p(x)
tr.oz→g	tr.oz[->]g	tr.oz>g
tᵤ(x)	t[sub-u](x)	t-u
t⁸(p)	t[^-1](p)	INV-t
t→s.tons	t[->]s.tons	t>s.tons
t→tons	t[->]tons	t>tons
t⇆	t[<->]	t<>
Uₙ	U[sub-n]	Un
VIEWα	VIEW[alpha]	VIEWa
VWα+	VW[alpha]+	VWa+
Weiblₚ	Weibl[sub-p]	Weibl-p
Weiblᵤ	Weibl[sub-u]	Weibl-u
Weibl⁸	Weibl[^-1]	INV-Weibl
Wₘ	W[sub-m]	W1
Wₚ	W[sub-p]	W0
©Wₚ	[cmplx]W[sub-p]	cW0
W⁸	W[^-1]	INV-W
©W⁸	[cmplx]W[^-1]	cINV-W
W→hp	W[->]hp	W>hp
W→HPₑ	W[->]HP[sub-e]	W>HP[sub-e]
W→hpUK	W[->]hpUK	W>hpUK
W→PS(hp)	W[->]PS(hp)	W>PS(hp)
Ẁ	[x-bar]	MEAN
x²	x[^2]	x^2
©x²	[cmplx]x[^2]	cx^2
x³	x[^3]	x^3
©x³	[cmplx]x[^3]	cx^3
XEQα	XEQ[alpha]	XEQa
Ẁg	[x-bar]g	GEOMEAN
Ẁw	[x-bar]w	MEAN-w
©x!	[cmplx]x!	cx!
x→α	x[->][alpha]	x>a
x⇆	x[<->]	SWAP
©x⇆	[cmplx]x[<->]	cSWAP
x⇆	x[<->]	x<>
©x⇆	[cmplx]x[<->]	cx<>
x⇆	x[<->]	x<>y
x≤0?	x[<=]0?	x<=0?
x≤1?	x[<=]1?	x<=1?
x≤?	x[<=]?	x<=?
©x=0?	[cmplx]x=0?	cx=0?
©x=1?	[cmplx]x=1?	cx=1?
©x=i?	[cmplx]x=i?	cx=i?
©x=?	[cmplx]x=?	cx=?
