By Command
°C→°F	[degree]C[->][degree]F	C>F
# α	# [alpha]	# alpha
# γEM	# [gamma]EM	# EULER
# γₚ	# [gamma][sub-p]	# gamP
# ε₀	# [epsilon][sub-0]	# eps0
# λ⒞	# [lambda][sub-c]	# lamC
# λ⒞ₙ	# [lambda][sub-c][sub-n]	# lamCn
# λ⒞ₚ	# [lambda][sub-c][sub-p]	# lamCp
# μ₀	# [mu][sub-0]	# mu0
# μ⒝	# [mu][sub-B]	# muB
# μₑ	# [mu][sub-e]	# muE
# μₙ	# [mu][sub-n]	# mun
# μₚ	# [mu][sub-p]	# muP
# μᵤ	# [mu][sub-u]	# mu_u
# μ¶	# [mu][sub-mu]	# mumu
# π	# [pi]	PI
# π/2	# [pi]/2	# PIon2
# σ⒝	# [sigma][sub-B]	# sigma
# Φ	# [PHI]	# PHI
# Φ₀	# [PHI][sub-0]	# phi0
# ω	# [omega]	# WGS_OMEGA
# -∞	# -[infinity]	# NEGINF
# √2π	# [sqrt]2[pi]	# SQRT_2_PI
# ∫RgB	# [integral]RgB	# INT_R_BOUNDS
# ∞	# [infinity]	# INF




By Alias
c#	©#	[cmplx]#
# a0	# a₀	# a[sub-0]
# alpha	# α	# [alpha]
# atm	# p₀	# p[sub-0]
# C1	# c₁	# c[sub-1]
# C2	# c₂	# c[sub-2]
# catalan	# G⒞	# G[sub-c]
# eps0	# ε₀	# [epsilon][sub-0]
# EULER	# γEM	# [gamma]EM
# F_alpha	# Fα	# F[alpha]
# F_delta	# Fδ	# F[delta]
# gamP	# γₚ	# [gamma][sub-p]
# Ge	# gₑ	# g[sub-e]
# Go	# G₀	# G[sub-0]
# hon2PI	# ħ	# [h-bar]
# INF	# ∞	# [infinity]
# INT_R_BOUNDS	# ∫RgB	# [integral]RgB
# lamC	# λ⒞	# [lambda][sub-c]
# lamCn	# λ⒞ₙ	# [lambda][sub-c][sub-n]
# lamCp	# λ⒞ₚ	# [lambda][sub-c][sub-p]
# M_luna	# Mₘ	# M[sub-m]
# M_sol	# M☉	# M[sol]
# M_terra	# M♁	# M[terra]
# me	# mₑ	# m[sub-e]
# mMu	# m¶	# m[sub-mu]
# mn	# mₙ	# m[sub-n]
# mp	# mₚ	# m[sub-p]
# mu	# mᵤ	# m[sub-u]
# mu0	# μ₀	# [mu][sub-0]
# mu_u	# μᵤ	# [mu][sub-u]
# muB	# μ⒝	# [mu][sub-B]
# muc2	# mᵤc²	# m[sub-u]c[^2]
# muE	# μₑ	# [mu][sub-e]
# mumu	# μ¶	# [mu][sub-mu]
# mun	# μₙ	# [mu][sub-n]
# muP	# μₚ	# [mu][sub-p]
# Na	# Nₐ	# N[sub-A]
# NEGINF	# -∞	# -[infinity]
# PHI	# Φ	# [PHI]
# phi0	# Φ₀	# [PHI][sub-0]
# PIon2	# π/2	# [pi]/2
# PlanckL	# lₚ	# l[sub-p]
# PlanckM	# Mₚ	# M[sub-p]
# PlanckQ	# qₚ	# q[sub-p]
# PlanckTh	# Tₚ	# T[sub-p]
# R_luna	# Rₘ	# R[sub-m]
# R_sol	# R☉	# R[sol]
# R_terra	# R♁	# R[terra]
# Re	# rₑ	# r[sub-e]
# RECIP_SQRT5	# 1/√5	# 1/[sqrt]5
# RECIPLN10	# L10⁸	# L10[^-1]
# RECIPLN2	# LN2⁸	# LN2[^-1]
# Rinf	# R₈	# R[sub-infinity]
# Rk	# Rₖ	# R[sub-k]
# sigma	# σ⒝	# [sigma][sub-B]
# SM_luna	# aₘ	# a[sub-m]
# SM_terra	# a♁	# a[terra]
# SQRT_2_PI	# √2π	# [sqrt]2[pi]
# t	# T₀	# T[sub-0]
# tp	# tₚ	# t[sub-p]
# Vm	# Vₘ	# V[sub-m]
# WGS_E2	# Se²	# Se[^2]
# WGS_ES2	# Se'²	# Se'[^2]
# WGS_F	# Sf⁸	# Sf[^-1]
# WGS_OMEGA	# ω	# [omega]
# Zo	# Z₀	# Z[sub-0]
%CH	Δ%	[DELTA]%
%SUM	%Σ	%[SIGMA]
' '	α  	[alpha] [space]
'!'	α !	[alpha] !
'!='	α ≠	[alpha] [!=]
'"'	α "	[alpha] "
'#'	α #	[alpha] #
'$'	α $	[alpha] $
'%'	α %	[alpha] %
'&'	α &	[alpha] &
'''	α '	[alpha] '
'('	α (	[alpha] (
')'	α )	[alpha] )
'*'	α *	[alpha] *
'+'	α +	[alpha] +
'+/-'	α ±	[alpha] [+/-]
','	α ,	[alpha] ,
'-'	α -	[alpha] -
'->'	α →	[alpha] [->]
'.'	α .	[alpha] .
'/'	α /	[alpha] /
'0'	α 0	[alpha] 0
'0223'	α 	[alpha] [0223]
'1'	α 1	[alpha] 1
'2'	α 2	[alpha] 2
'3'	α 3	[alpha] 3
'4'	α 4	[alpha] 4
'5'	α 5	[alpha] 5
'6'	α 6	[alpha] 6
'7'	α 7	[alpha] 7
'8'	α 8	[alpha] 8
'9'	α 9	[alpha] 9
':'	α :	[alpha] :
';'	α ;	[alpha] ;
'<'	α <	[alpha] <
'<-'	α ←	[alpha] [<-]
'<->'	α ⇆	[alpha] [<->]
'<='	α ≤	[alpha] [<=]
'='	α =	[alpha] =
'>'	α >	[alpha] >
'>='	α ≥	[alpha] [>=]
'?'	α ?	[alpha] ?
'@'	α @	[alpha] @
'['	α [	[alpha] [
'[^]'	α ↑	[alpha] [^]
'[v]'	α ↓	[alpha] [v]
'\'	α \	[alpha] \
']'	α ]	[alpha] ]
'^'	α ^	[alpha] ^
'^-1'	α ⁸	[alpha] [^-1]
'^2'	α ²	[alpha] [^2]
'^3'	α ³	[alpha] [^3]
'^v'	α ↕	[alpha] [^v]
'^x'	α ᵡ	[alpha] [^x]
'_'	α _	[alpha] _
'`'	α `	[alpha] `
'A'	α A	[alpha] A
'a'	α a	[alpha] a
'a-acute'	α á	[alpha] [a-acute]
'A-acute'	α Á	[alpha] [A-acute]
'a-dot'	α â	[alpha] [a-dot]
'A-dot'	α Â	[alpha] [A-dot]
'A-grave'	α À	[alpha] [A-grave]
'a-grave'	α à	[alpha] [a-grave]
'a-tilde'	α ã	[alpha] [a-tilde]
'A-tilde'	α Ã	[alpha] [A-tilde]
'A-umlaut'	α Ä	[alpha] [A-umlaut]
'a-umlaut'	α ä	[alpha] [a-umlaut]
'ae'	α æ	[alpha] [ae]
'AE'	α Æ	[alpha] [AE]
'alpha'	α α	[alpha] [alpha]
'approx'	α ≈	[alpha] [approx]
'b'	α b	[alpha] b
'B'	α B	[alpha] B
'beta'	α β	[alpha] [beta]
'c'	α c	[alpha] c
'C'	α C	[alpha] C
'C-acute'	α Ć	[alpha] [C-acute]
'c-acute'	α ć	[alpha] [c-acute]
'C-cedilla'	α Ç	[alpha] [C-cedilla]
'c-cedilla'	α ç	[alpha] [c-cedilla]
'C-hook'	α Č	[alpha] [C-hook]
'c-hook'	α č	[alpha] [c-hook]
'chi'	α χ	[alpha] [chi]
'cmplx'	α ©	[alpha] [cmplx]
'd'	α d	[alpha] d
'D'	α D	[alpha] D
'd-bar'	α ð	[alpha] [d-bar]
'D-bar'	α Ð	[alpha] [D-bar]
'degree'	α °	[alpha] [degree]
'DELTA'	α Δ	[alpha] [DELTA]
'delta'	α δ	[alpha] [delta]
'E'	α E	[alpha] E
'e'	α e	[alpha] e
'E-acute'	α É	[alpha] [E-acute]
'e-acute'	α é	[alpha] [e-acute]
'E-grave'	α È	[alpha] [E-grave]
'e-grave'	α è	[alpha] [e-grave]
'E-tilde'	α Ē	[alpha] [E-tilde]
'e-tilde'	α ē	[alpha] [e-tilde]
'e-trema'	α ë	[alpha] [e-trema]
'E-trema'	α Ë	[alpha] [E-trema]
'epsilon'	α ε	[alpha] [epsilon]
'eta'	α η	[alpha] [eta]
'euro'	α €	[alpha] [euro]
'f'	α f	[alpha] f
'F'	α F	[alpha] F
'f-shift'	α ⓕ	[alpha] [f-shift]
'g'	α g	[alpha] g
'G'	α G	[alpha] G
'g-shift'	α ⓖ	[alpha] [g-shift]
'GAMMA'	α Γ	[alpha] [GAMMA]
'gamma'	α γ	[alpha] [gamma]
'grad'	α Ⓖ	[alpha] [grad]
'H'	α H	[alpha] H
'h'	α h	[alpha] h
'h-bar'	α ħ	[alpha] [h-bar]
'h-shift'	α ⓗ	[alpha] [h-shift]
'I'	α I	[alpha] I
'i'	α i	[alpha] i
'i-acute'	α í	[alpha] [i-acute]
'I-acute'	α Í	[alpha] [I-acute]
'i-grave'	α ì	[alpha] [i-grave]
'I-grave'	α Ì	[alpha] [I-grave]
'I-tilde'	α Ĩ	[alpha] [I-tilde]
'i-tilde'	α ĩ	[alpha] [i-tilde]
'i-trema'	α ï	[alpha] [i-trema]
'I-trema'	α Ï	[alpha] [I-trema]
'infinity'	α ∞	[alpha] [infinity]
'integral'	α ∫	[alpha] [integral]
'iota'	α ι	[alpha] [iota]
'j'	α j	[alpha] j
'J'	α J	[alpha] J
'K'	α K	[alpha] K
'k'	α k	[alpha] k
'kappa'	α κ	[alpha] [kappa]
'l'	α l	[alpha] l
'L'	α L	[alpha] L
'lambda'	α λ	[alpha] [lambda]
'LAMBDA'	α Λ	[alpha] [LAMBDA]
'M'	α M	[alpha] M
'm'	α m	[alpha] m
'mu'	α μ	[alpha] [mu]
'n'	α n	[alpha] n
'N'	α N	[alpha] N
'N-tilde'	α Ñ	[alpha] [N-tilde]
'n-tilde'	α ñ	[alpha] [n-tilde]
'narrow-space'	α  	[alpha] [narrow-space]
'not'	α ¬	[alpha] [not]
'nu'	α ν	[alpha] [nu]
'o'	α o	[alpha] o
'O'	α O	[alpha] O
'O-acute'	α Ó	[alpha] [O-acute]
'o-acute'	α ó	[alpha] [o-acute]
'O-grave'	α Ò	[alpha] [O-grave]
'o-grave'	α ò	[alpha] [o-grave]
'o-slash'	α ø	[alpha] [o-slash]
'O-slash'	α Ø	[alpha] [O-slash]
'O-tilde'	α Õ	[alpha] [O-tilde]
'o-tilde'	α õ	[alpha] [o-tilde]
'O-umlaut'	α Ö	[alpha] [O-umlaut]
'o-umlaut'	α ö	[alpha] [o-umlaut]
'OMEGA'	α Ω	[alpha] [OMEGA]
'omega'	α ω	[alpha] [omega]
'P'	α P	[alpha] P
'p'	α p	[alpha] p
'PHI'	α Φ	[alpha] [PHI]
'phi'	α φ	[alpha] [phi]
'PI'	α Π	[alpha] [PI]
'pi'	α π	[alpha] [pi]
'pound'	α £	[alpha] [pound]
'print'	α ⎙	[alpha] [print]
'psi'	α ψ	[alpha] [psi]
'PSI'	α Ψ	[alpha] [PSI]
'Q'	α Q	[alpha] Q
'q'	α q	[alpha] q
'R'	α R	[alpha] R
'r'	α r	[alpha] r
'r-hook'	α ř	[alpha] [r-hook]
'R-hook'	α Ř	[alpha] [R-hook]
'rho'	α ρ	[alpha] [rho]
's'	α s	[alpha] s
'S'	α S	[alpha] S
'S-hook'	α Š	[alpha] [S-hook]
's-hook'	α š	[alpha] [s-hook]
'SIGMA'	α Σ	[alpha] [SIGMA]
'sigma'	α σ	[alpha] [sigma]
'sol'	α ☉	[alpha] [sol]
'sqrt'	α √	[alpha] [sqrt]
'sub-0'	α ₀	[alpha] [sub-0]
'sub-1'	α ₁	[alpha] [sub-1]
'sub-2'	α ₂	[alpha] [sub-2]
'sub-A'	α ₐ	[alpha] [sub-A]
'sub-B'	α ⒝	[alpha] [sub-B]
'sub-c'	α ⒞	[alpha] [sub-c]
'sub-d'	α ⒟	[alpha] [sub-d]
'sub-e'	α ₑ	[alpha] [sub-e]
'sub-infinity'	α ₈	[alpha] [sub-infinity]
'sub-k'	α ₖ	[alpha] [sub-k]
'sub-m'	α ₘ	[alpha] [sub-m]
'sub-mu'	α ¶	[alpha] [sub-mu]
'sub-n'	α ₙ	[alpha] [sub-n]
'sub-p'	α ₚ	[alpha] [sub-p]
'sub-u'	α ᵤ	[alpha] [sub-u]
'sub-w'	α ⒲	[alpha] [sub-w]
'sub-x'	α ₓ	[alpha] [sub-x]
'sub-y'	α ᵧ	[alpha] [sub-y]
'super-star'	α ⁺	[alpha] [super-star]
'sz'	α ß	[alpha] [sz]
'T'	α T	[alpha] T
't'	α t	[alpha] t
'tau'	α τ	[alpha] [tau]
'terra'	α ♁	[alpha] [terra]
'THETA'	α Θ	[alpha] [THETA]
'theta'	α θ	[alpha] [theta]
'times'	α ×	[alpha] [times]
'U'	α U	[alpha] U
'u'	α u	[alpha] u
'u-acute'	α ú	[alpha] [u-acute]
'U-acute'	α Ú	[alpha] [U-acute]
'u-dot'	α û	[alpha] [u-dot]
'U-dot'	α Û	[alpha] [U-dot]
'u-grave'	α ù	[alpha] [u-grave]
'U-grave'	α Ù	[alpha] [U-grave]
'U-tilde'	α Ũ	[alpha] [U-tilde]
'u-tilde'	α ũ	[alpha] [u-tilde]
'U-umlaut'	α Ü	[alpha] [U-umlaut]
'u-umlaut'	α ü	[alpha] [u-umlaut]
'upsilon'	α υ	[alpha] [upsilon]
'v'	α v	[alpha] v
'V'	α V	[alpha] V
'w'	α w	[alpha] w
'W'	α W	[alpha] W
'X'	α X	[alpha] X
'x'	α x	[alpha] x
'x-bar'	α Ẁ	[alpha] [x-bar]
'x-hat'	α ẋ	[alpha] [x-hat]
'xi'	α ξ	[alpha] [xi]
'XI'	α Ξ	[alpha] [XI]
'y'	α y	[alpha] y
'Y'	α Y	[alpha] Y
'Y-acute'	α Ý	[alpha] [Y-acute]
'y-acute'	α ý	[alpha] [y-acute]
'y-bar'	α ȳ	[alpha] [y-bar]
'y-hat'	α ŷ	[alpha] [y-hat]
'Y-trema'	α Ÿ	[alpha] [Y-trema]
'y-trema'	α ÿ	[alpha] [y-trema]
'yen'	α ¥	[alpha] [yen]
'Z'	α Z	[alpha] Z
'z'	α z	[alpha] z
'Z-hook'	α Ž	[alpha] [Z-hook]
'z-hook'	α ž	[alpha] [z-hook]
'zeta'	α ζ	[alpha] [zeta]
'{'	α {	[alpha] {
'|'	α |	[alpha] |
'}'	α }	[alpha] }
'~'	α ~	[alpha] ~
(-1)^x	(-1)ᵡ	(-1)[^x]
c(-1)^x	©(-1)ᵡ	[cmplx](-1)[^x]
*	×	[times]
c*	©×	[cmplx][times]
c+	©+	[cmplx]+
c+/-	©+/-	[cmplx]+/-
c-	©-	[cmplx]-
c/	©/	[cmplx]/
10^x	10ᵡ	10[^x]
c10^x	©10ᵡ	[cmplx]10[^x]
2^x	2ᵡ	2[^x]
c2^x	©2ᵡ	[cmplx]2[^x]
<>	⇆	[<->]
>DATE	→DATE	[->]DATE
>DEG	→DEG	[->]DEG
>GRAD	→GRAD	[->]GRAD
>H.MS	→H.MS	[->]H.MS
>HR	→HR	[->]HR
>POL	→POL	[->]POL
>RAD	→RAD	[->]RAD
>REC	→REC	[->]REC
a	α	[alpha]
a>x	α→x	[alpha][->]x
cABS	©ABS	[cmplx]ABS
cACOS	©ACOS	[cmplx]ACOS
cACOSH	©ACOSH	[cmplx]ACOSH
acres>ha	acres→ha	acres[->]ha
aDATE	αDATE	[alpha]DATE
aDAY	αDAY	[alpha]DAY
cAGM	©AGM	[cmplx]AGM
aGTO	αGTO	[alpha]GTO
aIP	αIP	[alpha]IP
aLENG	αLENG	[alpha]LENG
aMONTH	αMONTH	[alpha]MONTH
aOFF	αOFF	[alpha]OFF
aON	αON	[alpha]ON
ar.>dB	ar.→dB	ar.[->]dB
aRC#	αRC#	[alpha]RC#
aRCL	αRCL	[alpha]RCL
aRL	αRL	[alpha]RL
aRR	αRR	[alpha]RR
cASIN	©ASIN	[cmplx]ASIN
cASINH	©ASINH	[cmplx]ASINH
aSL	αSL	[alpha]SL
aSR	αSR	[alpha]SR
aSTO	αSTO	[alpha]STO
cATAN	©ATAN	[cmplx]ATAN
cATANH	©ATANH	[cmplx]ATANH
aTIME	αTIME	[alpha]TIME
atm>Pa	atm→Pa	atm[->]Pa
AU>km	AU→km	AU[->]km
aXEQ	αXEQ	[alpha]XEQ
bar>Pa	bar→Pa	bar[->]Pa
BETA	β	[beta]
cBETA	©β	[cmplx][beta]
Binom-p	Binomₚ	Binom[sub-p]
Bn	Bₙ	B[sub-n]
Bn*	Bₙ⁺	B[sub-n][super-star]
Btu>J	Btu→J	Btu[->]J
C>F	°C→°F	[degree]C[->][degree]F
cal>J	cal→J	cal[->]J
Cauch-p	Cauchₚ	Cauch[sub-p]
Cauch-u	Cauchᵤ	Cauch[sub-u]
cft>l	cft→l	cft[->]l
chi2	χ²ₚ	[chi][^2][sub-p]
CHI2	χ²	[chi][^2]
CHS	+/-	+/-
cCHS	©+/-	[cmplx]+/-
CLa	CLα	CL[alpha]
CLSUMS	CLΣ	CL[SIGMA]
cm>inches	cm→inches	cm[->]inches
cCNST	©CNST	[cmplx]CNST
cCOMB	©COMB	[cmplx]COMB
cCONJ	©CONJ	[cmplx]CONJ
cCOS	©COS	[cmplx]COS
cCOSH	©COSH	[cmplx]COSH
CROOT	³√	[^3][sqrt]
cCROOT	©³√	[cmplx][^3][sqrt]
cCROSS	©CROSS	[cmplx]CROSS
cwt>kg	cwt→kg	cwt[->]kg
D>J	D→J	D[->]J
DATE>	DATE→	DATE[->]
dB>ar.	dB→ar.	dB[->]ar.
dB>pr.	dB→pr.	dB[->]pr.
DBL*	DBL×	DBL[times]
DEG>	DEG→	DEG[->]
DEG>GRAD	°→G	[degree][->]G
DEG>RAD	°→rad	[degree][->]rad
DELTADAYS	ΔDAYS	[DELTA]DAYS
cDOT	©DOT	[cmplx]DOT
cDROP	©DROP	[cmplx]DROP
ENTER	ENTER↑	ENTER[^]
cENTER	©ENTER	[cmplx]ENTER
epsilon	ε	[epsilon]
epsilon-m	εm	[epsilon]m
epsilon-pop	εₚ	[epsilon][sub-p]
EXP	eᵡ	e[^x]
cEXP	©eᵡ	[cmplx]e[^x]
EXP-1	eᵡ-1	e[^x]-1
cEXP-1	©eᵡ-1	[cmplx]e[^x]-1
Expon-p	Exponₚ	Expon[sub-p]
Expon-u	Exponᵤ	Expon[sub-u]
F-p(x)	Fₚ(x)	F[sub-p](x)
F>C	°F→°C	[degree]F[->][degree]C
fathom>m	fathom→m	fathom[->]m
FCSTx	ẋ	[x-hat]
FCSTy	ŷ	[y-hat]
feet>m	feet→m	feet[->]m
cFIB	©FIB	[cmplx]FIB
cFILL	©FILL	[cmplx]FILL
flozUK>ml	flozUK→ml	flozUK[->]ml
flozUS>ml	flozUS→ml	flozUS[->]ml
cFP	©FP	[cmplx]FP
g>oz	g→oz	g[->]oz
g>tr.oz	g→tr.oz	g[->]tr.oz
galUK>l	galUK→l	galUK[->]l
galUS>l	galUS→l	galUS[->]l
GAMMA	Γ	[GAMMA]
cGAMMA	©Γ	[cmplx][GAMMA]
Geom-p	Geomₚ	Geom[sub-p]
Geom-u	Geomᵤ	Geom[sub-u]
GEOMEAN	Ẁg	[x-bar]g
GRAD>	GRAD→	GRAD[->]
GRAD>DEG	G→°	G[->][degree]
GRAD>RAD	G→rad	G[->]rad
GTOa	GTOα	GTO[alpha]
GUD	g⒟	g[sub-d]
cGUD	©g⒟	[cmplx]g[sub-d]
ha>acres	ha→acres	ha[->]acres
Hn	Hₙ	H[sub-n]
Hnp	Hₙₚ	H[sub-n][sub-p]
hp>W	hp→W	hp[->]W
HP[sub-e]>W	HPₑ→W	HP[sub-e][->]W
hpUK>W	hpUK→W	hpUK[->]W
ci	©i	[cmplx]i
IBETA	Iβ	I[beta]
IGAMMA	IΓ	I[GAMMA]
inches>cm	inches→cm	inches[->]cm
INF?	∞?	[infinity]?
inHg>Pa	inHg→Pa	inHg[->]Pa
INTG	∫	[integral]
INTG	∫	[integral]
INV	1/x	1/x
cINV	©1/x	[cmplx]1/x
INV-Binom	Binom⁸	Binom[^-1]
INV-Cauch	Cauch⁸	Cauch[^-1]
INV-CHI2	χ²INV	[chi][^2]INV
INV-Expon	Expon⁸	Expon[^-1]
INV-F	F⁸(p)	F[^-1](p)
INV-Geom	Geom⁸	Geom[^-1]
INV-GUD	g⒟⁸	g[sub-d][^-1]
cINV-GUD	©g⒟⁸	[cmplx]g[sub-d][^-1]
INV-LgNorm	LgNrm⁸	LgNrm[^-1]
INV-Logis	Logis⁸	Logis[^-1]
INV-Norml	Norml⁸	Norml[^-1]
INV-PHI	Φ⁸(p)	[PHI][^-1](p)
INV-Pois1	Poisλ⁸	Pois[lambda][^-1]
INV-Poiss	Poiss⁸	Poiss[^-1]
INV-t	t⁸(p)	t[^-1](p)
INV-W	W⁸	W[^-1]
cINV-W	©W⁸	[cmplx]W[^-1]
INV-Weibl	Weibl⁸	Weibl[^-1]
cIP	©IP	[cmplx]IP
J>Btu	J→Btu	J[->]Btu
J>cal	J→cal	J[->]cal
J>D	J→D	J[->]D
J>kWh	J→kWh	J[->]kWh
kg>cwt	kg→cwt	kg[->]cwt
kg>lb	kg→lb	kg[->]lb
kg>s.cwt	kg→s.cwt	kg[->]s.cwt
kg>stone	kg→stone	kg[->]stone
km>AU	km→AU	km[->]AU
km>l.y.	km→l.y.	km[->]l.y.
km>miles	km→miles	km[->]miles
km>nmi	km→nmi	km[->]nmi
km>pc	km→pc	km[->]pc
kWh>J	kWh→J	kWh[->]J
l.y.>km	l.y.→km	l.y.[->]km
l>cft	l→cft	l[->]cft
l>galUK	l→galUK	l[->]galUK
l>galUS	l→galUS	l[->]galUS
LB	LOG₂	LOG[sub-2]
cLB	©LOG₂	[cmplx]LOG[sub-2]
lb>kg	lb→kg	lb[->]kg
lbf>N	lbf→N	lbf[->]N
LG	LOG₁₀	LOG[sub-1][sub-0]
cLG	©LOG₁₀	[cmplx]LOG[sub-1][sub-0]
LgNorm-p	LgNrmₚ	LgNrm[sub-p]
LgNrm-u	LgNrmᵤ	LgNrm[sub-u]
Ln	Lₙ	L[sub-n]
cLN	©LN	[cmplx]LN
cLN1+x	©LN1+x	[cmplx]LN1+x
LnAlpha	Lₙα	L[sub-n][alpha]
LNBETA	LNβ	LN[beta]
cLNBETA	©LNβ	[cmplx]LN[beta]
LNGAMMA	LNΓ	LN[GAMMA]
cLNGAMMA	©LNΓ	[cmplx]LN[GAMMA]
LOADSUMS	LOADΣ	LOAD[SIGMA]
Logis-p	Logisₚ	Logis[sub-p]
Logis-u	Logisᵤ	Logis[sub-u]
LOGx	LOGₓ	LOG[sub-x]
cLOGx	©LOGₓ	[cmplx]LOG[sub-x]
M*	M×	M[times]
M+*	M+×	M+[times]
M.INV	M⁸	M[^-1]
m>fathom	m→fathom	m[->]fathom
m>feet	m→feet	m[->]feet
m>yards	m→yards	m[->]yards
MEAN	Ẁ	[x-bar]
MEAN-w	Ẁw	[x-bar]w
miles>km	miles→km	miles[->]km
ml>flozUK	ml→flozUK	ml[->]flozUK
ml>flozUS	ml→flozUS	ml[->]flozUS
mmHg>Pa	mmHg→Pa	mmHg[->]Pa
MROW*	MROW×	MROW[times]
MROW+*	MROW+×	MROW+[times]
MROW<>	MROW⇆	MROW[<->]
N>lbf	N→lbf	N[->]lbf
nmi>km	nmi→km	nmi[->]km
Norml-p	Normlₚ	Norml[sub-p]
Norml-u	Normlᵤ	Norml[sub-u]
nSUM	nΣ	n[SIGMA]
oz>g	oz→g	oz[->]g
P.#	⎙#	[print]#
P.+a	⎙+α	[print]+[alpha]
P.a	⎙α	[print][alpha]
P.a+	⎙α+	[print][alpha]+
P.ADV	⎙ADV	[print]ADV
P.CHR	⎙CHR	[print]CHR
P.DLAY	⎙DLAY	[print]DLAY
P.MODE	⎙MODE	[print]MODE
P.PROG	⎙PROG	[print]PROG
P.r	⎙r	[print]r
P.REGS	⎙REGS	[print]REGS
P.STK	⎙STK	[print]STK
P.SUMS	⎙Σ	[print][SIGMA]
P.TAB	⎙TAB	[print]TAB
Pa>atm	Pa→atm	Pa[->]atm
Pa>bar	Pa→bar	Pa[->]bar
Pa>inHg	Pa→inHg	Pa[->]inHg
Pa>mmHg	Pa→mmHg	Pa[->]mmHg
Pa>psi	Pa→psi	Pa[->]psi
Pa>torr	Pa→torr	Pa[->]torr
pc>km	pc→km	pc[->]km
cPERM	©PERM	[cmplx]PERM
PHI(x)	Φ(x)	[PHI](x)
phi(x)	φ(x)	[phi](x)
PI	# π	# [pi]
Pn	Pₙ	P[sub-n]
Pois1	Poisλ	Pois[lambda]
Pois1-p	Poisλₚ	Pois[lambda][sub-p]
Poiss-p	Poissₚ	Poiss[sub-p]
pr.>dB	pr.→dB	pr.[->]dB
PROD	Π	[PI]
PROD	Π	[PI]
PRT?	⎙?	[print]?
PS(hp)>W	PS(hp)→W	PS(hp)[->]W
psi>Pa	psi→Pa	psi[->]Pa
Q-u	Φᵤ(x)	[PHI][sub-u](x)
RAD>	RAD→	RAD[->]
RAD>DEG	rad→°	rad[->][degree]
RAD>GRAD	rad→G	rad[->]G
cRCL	©RCL	[cmplx]RCL
RCL*	RCL×	RCL[times]
cRCL*	©RCL×	[cmplx]RCL[times]
cRCL+	©RCL+	[cmplx]RCL+
cRCL-	©RCL-	[cmplx]RCL-
cRCL/	©RCL/	[cmplx]RCL/
RCLMAX	RCL↑	RCL[^]
RCLMIN	RCL↓	RCL[v]
RDN	R↓	R[v]
cRDN	©R↓	[cmplx]R[v]
cROUND	©ROUND	[cmplx]ROUND
RUP	R↑	R[^]
cRUP	©R↑	[cmplx]R[^]
s.cwt>kg	s.cwt→kg	s.cwt[->]kg
s.tons>t	s.tons→t	s.tons[->]t
SENDSUMS	SENDΣ	SEND[SIGMA]
sigma	σ	[sigma]
SIGMA+	Σ+	[SIGMA]+
SIGMA-	Σ-	[SIGMA]-
sigma-w	σw	[sigma]w
cSIGN	©SIGN	[cmplx]SIGN
cSIN	©SIN	[cmplx]SIN
cSINC	©SINC	[cmplx]SINC
cSINH	©SINH	[cmplx]SINH
SQRT	√	[sqrt]
cSQRT	©√	[cmplx][sqrt]
cSTO	©STO	[cmplx]STO
STO*	STO×	STO[times]
cSTO*	©STO×	[cmplx]STO[times]
cSTO+	©STO+	[cmplx]STO+
cSTO-	©STO-	[cmplx]STO-
cSTO/	©STO/	[cmplx]STO/
STOMAX	STO↑	STO[^]
STOMIN	STO↓	STO[v]
stone>kg	stone→kg	stone[->]kg
SUM	Σ	[SIGMA]
SUM	Σ	[SIGMA]
SUMln2x	Σln²x	[SIGMA]ln[^2]x
SUMln2y	Σln²y	[SIGMA]ln[^2]y
SUMlnx	Σlnx	[SIGMA]lnx
SUMlnxy	Σlnxy	[SIGMA]lnxy
SUMlny	Σlny	[SIGMA]lny
SUMx	Σx	[SIGMA]x
SUMx2	Σx²	[SIGMA]x[^2]
SUMx2y	Σx²y	[SIGMA]x[^2]y
SUMxlny	Σxlny	[SIGMA]xlny
SUMxy	Σxy	[SIGMA]xy
SUMy	Σy	[SIGMA]y
SUMy2	Σy²	[SIGMA]y[^2]
SUMylnx	Σylnx	[SIGMA]ylnx
SWAP	x⇆	x[<->]
cSWAP	©x⇆	[cmplx]x[<->]
sxy	sₓᵧ	s[sub-x][sub-y]
t-p(x)	tₚ(x)	t[sub-p](x)
t-u	tᵤ(x)	t[sub-u](x)
t<>	t⇆	t[<->]
t>s.tons	t→s.tons	t[->]s.tons
t>tons	t→tons	t[->]tons
cTAN	©TAN	[cmplx]TAN
cTANH	©TANH	[cmplx]TANH
Tn	Tₙ	T[sub-n]
tons>t	tons→t	tons[->]t
torr>Pa	torr→Pa	torr[->]Pa
tr.oz>g	tr.oz→g	tr.oz[->]g
Un	Uₙ	U[sub-n]
VIEWa	VIEWα	VIEW[alpha]
VWa+	VWα+	VW[alpha]+
W0	Wₚ	W[sub-p]
cW0	©Wₚ	[cmplx]W[sub-p]
W1	Wₘ	W[sub-m]
W>hp	W→hp	W[->]hp
W>HP[sub-e]	W→HPₑ	W[->]HP[sub-e]
W>hpUK	W→hpUK	W[->]hpUK
W>PS(hp)	W→PS(hp)	W[->]PS(hp)
